topcreditor,topdebtor,creditor,debtor,amount,risk
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,com.sun.mirror.apt,com.sun.mirror.apt,1,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,com.sun.mirror.util,com.sun.mirror.util,49,7
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,com.sun.mirror.util,com.sun.mirror.declaration,65,5
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.env,org.eclipse.jdt.apt.core.internal.env,1,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,com.sun.mirror.apt,2,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,com.sun.mirror.util,4,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,com.sun.mirror.declaration,2,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,174,13
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.util,2,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,25,6
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,18,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.declaration,14,3
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.generatedfile,8,3
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.util,com.sun.mirror.apt,1,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.util,25,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal.util,4,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal,18,3
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal.generatedfile,2,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,com.sun.mirror.declaration,2,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.env,24,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,129,14
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,11,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,com.sun.mirror.type,3,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,20,9
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.type,1,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal,com.sun.mirror.apt,10,3
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.env,47,4
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.util,6,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,24,5
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,182,12
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.generatedfile,11,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,com.sun.mirror.type,com.sun.mirror.type,2,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.declaration,com.sun.mirror.util,30,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.declaration,com.sun.mirror.declaration,2,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.env,9,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,62,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,216,23
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.type,com.sun.mirror.util,9,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.type,org.eclipse.jdt.apt.core.internal.env,1,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.type,org.eclipse.jdt.apt.core.internal.util,6,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.type,org.eclipse.jdt.apt.core.internal.declaration,9,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.type,org.eclipse.jdt.apt.core.internal.type,6,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.generatedfile,org.eclipse.jdt.apt.core.util,8,1
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.generatedfile,org.eclipse.jdt.apt.core.internal.util,50,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.generatedfile,org.eclipse.jdt.apt.core.internal,97,2
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core.internal.generatedfile,org.eclipse.jdt.apt.core.internal.generatedfile,122,9
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.apt.core.util,1,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.apt.core.internal,8,4
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.apt.core.internal.generatedfile,2,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.internal.apt.pluggable.core.filer,org.eclipse.jdt.apt.core.internal.util,2,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.internal.apt.pluggable.core.filer,org.eclipse.jdt.apt.core.internal,9,2
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,org.eclipse.jdt.internal.apt.pluggable.core.filer,org.eclipse.jdt.apt.core.internal.generatedfile,6,2
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,5,3
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.internal.apt.pluggable.core,6,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core,4,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core.filer,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,13,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core.filer,org.eclipse.jdt.internal.apt.pluggable.core,3,1
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.internal.apt.pluggable.core.filer,org.eclipse.jdt.internal.apt.pluggable.core.filer,11,5
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.compiler.apt,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.internal.compiler.apt.dispatch,2,2
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.compiler.apt,org.eclipse.jdt.internal.apt.pluggable.core.dispatch,org.eclipse.jdt.internal.compiler.apt.model,1,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.apt.core.util,16,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.apt.core.internal.util,35,4
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.apt.core.internal,8,2
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.apt.ui.internal.preferences,198,10
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.apt.ui.internal,2,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.apt.ui.internal.util,3,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui.internal,org.eclipse.jdt.apt.ui.internal,4,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui.internal.util,org.eclipse.jdt.apt.ui.internal,5,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui.internal.util,org.eclipse.jdt.apt.ui.internal.util,8,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.internal.ui.preferences,5,2
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.internal.ui.wizards,1,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.internal.ui.wizards.dialogfields,98,6
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.internal.ui.util,2,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.internal.ui,1,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.internal.ui.dialogs,4,1
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,org.eclipse.jdt.apt.ui.internal.preferences,org.eclipse.jdt.ui.wizards,6,1
org.eclipse.jdt.astview,org.eclipse.jdt.astview,org.eclipse.jdt.astview,org.eclipse.jdt.astview,12,2
org.eclipse.jdt.astview,org.eclipse.jdt.astview,org.eclipse.jdt.astview.views,org.eclipse.jdt.astview,1,1
org.eclipse.jdt.astview,org.eclipse.jdt.astview,org.eclipse.jdt.astview.views,org.eclipse.jdt.astview.views,31,11
org.eclipse.jdt.compiler.apt,org.eclipse.jdt.compiler.apt,org.eclipse.jdt.internal.compiler.apt.dispatch,org.eclipse.jdt.internal.compiler.apt.dispatch,52,12
org.eclipse.jdt.compiler.apt,org.eclipse.jdt.compiler.apt,org.eclipse.jdt.internal.compiler.apt.dispatch,org.eclipse.jdt.internal.compiler.apt.model,17,3
