topcreditor,topdebtor,creditor,debtor,amount,risk
org.eclipse.jdt.apt.core.env,org.eclipse.jdt.apt.core.internal.env,EnvironmentFactory,BaseProcessorEnv,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,AbstractCompilationEnv,AbstractCompilationEnv,7
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,AbstractCompilationEnv,BaseProcessorEnv,3
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,AbstractCompilationEnv,BuildEnv,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,AbstractCompilationEnv,EnvUtil,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,AbstractCompilationEnv,ReconcileEnv,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,AnnotationInvocationHandler,AnnotationInvocationHandler,7
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BaseProcessorEnv,BaseProcessorEnv,40
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BinaryFileOutputStream,AbstractCompilationEnv,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BinaryFileOutputStream,BaseProcessorEnv,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BinaryFileOutputStream,BinaryFileOutputStream,5
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildEnv,AbstractCompilationEnv,9
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildEnv,BaseProcessorEnv,4
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildEnv,BuildEnv,9
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildEnv,BuildFilerImpl,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildEnv,EnvUtil,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildFilerImpl,AbstractCompilationEnv,4
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildFilerImpl,BaseProcessorEnv,7
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildFilerImpl,BuildFilerImpl,3
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,BuildFilerImpl,FilerImpl,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,CallbackRequestor,EnvCallback,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,EnvUtil,EndingOffsetFinder,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,EnvUtil,EnvUtil,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,FilerImpl,AbstractCompilationEnv,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,FilerImpl,BaseProcessorEnv,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,FilerImpl,FilerImpl,4
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,JavaSourceFilePrintWriter,AbstractCompilationEnv,4
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,JavaSourceFilePrintWriter,BaseProcessorEnv,3
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,JavaSourceFilePrintWriter,ReconcileEnv,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,MarkerInfo,MarkerInfo,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,MessagerImpl,AbstractCompilationEnv,7
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,MessagerImpl,BaseProcessorEnv,8
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,MessagerImpl,MessagerImpl,21
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,ReconcileEnv,AbstractCompilationEnv,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,ReconcileEnv,BaseProcessorEnv,3
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,State,AbstractCompilationEnv,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.env,State,BuildEnv,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.util,BaseProcessorEnv,AptConfig,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,AbstractCompilationEnv,Factory,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,AnnotationInvocationHandler,Factory,7
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,BaseProcessorEnv,Factory,6
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,BaseProcessorEnv,PackageUtil,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,BaseProcessorEnv,TypesUtil,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,BinaryFileOutputStream,FileSystemUtil,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.util,BuildEnv,AnnotationVisitor,1
